shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10029,50.455091,-104.624531,320001,8.183
10029,50.455093,-104.625387,320002,8.244
10029,50.455089,-104.626838,320003,8.347
10029,50.455090,-104.627261,320004,8.377
10029,50.455090,-104.627261,330001,8.377
10029,50.455094,-104.628289,330002,8.450
10029,50.455089,-104.629726,330003,8.552
10029,50.455091,-104.630140,330004,8.581
10029,50.455091,-104.630140,340001,8.581
10029,50.455094,-104.631163,340002,8.654
10029,50.455096,-104.631750,340003,8.695
10029,50.455096,-104.631750,350001,8.695
10029,50.455098,-104.632614,350002,8.757
10029,50.455094,-104.634050,350003,8.859
10029,50.455087,-104.634467,350004,8.888
10029,50.455087,-104.634467,360001,8.888
10029,50.455072,-104.635487,360002,8.961
10029,50.455076,-104.636938,360003,9.064
10029,50.455077,-104.637391,360004,9.096
10029,50.455077,-104.637391,370001,9.096
10029,50.455081,-104.638389,370002,9.167
10029,50.455085,-104.639812,370003,9.268
10029,50.455104,-104.640261,370004,9.300
10029,50.455104,-104.640261,380001,9.300
10029,50.455133,-104.640953,380002,9.349
10029,50.455165,-104.642375,380003,9.450
10029,50.455188,-104.643436,380004,9.525
10029,50.455201,-104.645291,380005,9.657
10029,50.455202,-104.645860,380006,9.697
10029,50.455202,-104.645860,390001,9.697
10029,50.455205,-104.646714,390002,9.758
10029,50.455207,-104.647280,390003,9.798
10029,50.455207,-104.647280,400001,9.798
10029,50.455207,-104.647286,400002,9.798
10029,50.455209,-104.648165,400003,9.861
10029,50.455209,-104.648321,400004,9.872
10029,50.455205,-104.649602,400005,9.963
10029,50.455207,-104.650190,400006,10.005
10029,50.455207,-104.650190,410001,10.005
10029,50.455209,-104.651067,410002,10.067
10029,50.455213,-104.652461,410003,10.166
10029,50.455209,-104.652891,410004,10.196
10029,50.455209,-104.652891,420001,10.196
10029,50.455200,-104.653912,420002,10.269
10029,50.455204,-104.655335,420003,10.370
10029,50.455203,-104.655780,420004,10.401
10029,50.455203,-104.655780,430001,10.401
10029,50.455199,-104.656800,430002,10.474
10029,50.455194,-104.658223,430003,10.575
10029,50.455196,-104.658790,430004,10.615
10029,50.455196,-104.658790,440001,10.615
10029,50.455199,-104.659660,440002,10.677
10029,50.455189,-104.661125,440003,10.781
10029,50.455188,-104.661670,440004,10.819
10029,50.455188,-104.661670,450001,10.819
10029,50.455186,-104.666041,450002,11.130
10029,50.455186,-104.666099,450003,11.134
10029,50.455186,-104.666099,460001,11.134
10029,50.455183,-104.666813,460002,11.185
10029,50.455184,-104.668253,460003,11.287
10029,50.455180,-104.668808,460004,11.326
10029,50.455180,-104.668808,470001,11.326
10029,50.455175,-104.669711,470002,11.390
10029,50.455180,-104.671126,470003,11.491
10029,50.455183,-104.672021,470004,11.554
10029,50.455183,-104.672021,480001,11.554
10029,50.455185,-104.672683,480002,11.601
10029,50.455183,-104.674026,480003,11.697
10029,50.455183,-104.674479,480004,11.729
10029,50.455183,-104.674479,490001,11.729
10029,50.455183,-104.675465,490002,11.799
10029,50.455184,-104.676902,490003,11.901
10029,50.455185,-104.677301,490004,11.929
10029,50.455185,-104.677301,500001,11.929
10029,50.455187,-104.678339,500002,12.003
10029,50.455187,-104.679652,500003,12.096
10029,50.455187,-104.680080,500004,12.126
10029,50.455187,-104.680080,510001,12.126
10029,50.455186,-104.684710,510002,12.455
10029,50.455186,-104.684710,520001,12.455
10029,50.455185,-104.686847,520002,12.607
10029,50.455153,-104.698400,520003,13.427
10029,50.455127,-104.698400,520004,13.430
10029,50.452538,-104.698396,520005,13.718
10029,50.452538,-104.698593,520006,13.732
10029,50.452538,-104.698593,530001,13.732
10029,50.452537,-104.699790,530002,13.817
10029,50.452536,-104.701261,530003,13.921
10029,50.452536,-104.701261,540001,13.921
10029,50.452535,-104.701779,540002,13.958
10029,50.452534,-104.703757,540003,14.098
10029,50.454467,-104.703755,540004,14.313
10029,50.454467,-104.703755,550001,14.313
10029,50.455124,-104.703754,550002,14.386
10029,50.455138,-104.703753,550003,14.388
10029,50.455120,-104.709747,550004,14.813
10029,50.455124,-104.719387,550005,15.498
10029,50.455125,-104.724027,550006,15.827
10029,50.455126,-104.725452,550007,15.928
10029,50.455125,-104.725543,550008,15.934
10029,50.455126,-104.726132,550009,15.976
10029,50.455127,-104.727641,550010,16.083
10029,50.455127,-104.731457,550011,16.354
10029,50.455128,-104.732261,550012,16.411
10029,50.455128,-104.732674,550013,16.441
10029,50.455083,-104.755827,550014,18.084
10029,50.451787,-104.755815,550015,18.451
10029,50.448681,-104.755814,550016,18.796
10029,50.443927,-104.755817,550017,19.325
10029,50.443718,-104.755817,550018,19.348
10029,50.443713,-104.753138,550019,19.538
10029,50.443705,-104.751731,550020,19.638
10029,50.443859,-104.751729,550021,19.655
10033,50.480710,-104.615500,10001,0.000
10033,50.480709,-104.615148,10002,0.025
10033,50.480711,-104.613696,10003,0.128
10033,50.480708,-104.612258,10004,0.230
10033,50.480710,-104.611851,10005,0.259
10033,50.480710,-104.611851,20001,0.259
10033,50.480713,-104.610821,20002,0.332
10033,50.480717,-104.609383,20003,0.434
10033,50.480714,-104.608680,20004,0.484
10033,50.480714,-104.608680,30001,0.484
10033,50.480712,-104.607917,30002,0.538
10033,50.480716,-104.606395,30003,0.646
10033,50.480709,-104.605888,30004,0.682
10033,50.480709,-104.605888,40001,0.682
10033,50.480692,-104.604789,40002,0.760
10033,50.480697,-104.603464,40003,0.854
10033,50.480696,-104.603090,40004,0.880
10033,50.480696,-104.603090,50001,0.880
10033,50.480696,-104.600588,50002,1.058
10033,50.480697,-104.600120,50003,1.091
10033,50.480697,-104.600120,60001,1.091
10033,50.480700,-104.599151,60002,1.160
10033,50.480695,-104.597685,60003,1.264
10033,50.480696,-104.597059,60004,1.308
10033,50.480696,-104.597059,70001,1.308
10033,50.480699,-104.596261,70002,1.365
10033,50.480693,-104.595161,70003,1.443
10033,50.479527,-104.595206,70004,1.573
10033,50.479329,-104.595206,70005,1.595
10033,50.479329,-104.595206,80001,1.595
10033,50.478879,-104.595206,80002,1.645
10033,50.478882,-104.596070,80003,1.706
10033,50.478882,-104.596070,90001,1.706
10033,50.478882,-104.596263,90002,1.720
10033,50.478878,-104.597700,90003,1.822
10033,50.478883,-104.599152,90004,1.925
10033,50.478640,-104.599153,90005,1.952
10033,50.478640,-104.599153,100001,1.952
10033,50.477049,-104.599153,100002,2.129
10033,50.476819,-104.599154,100003,2.154
10033,50.476819,-104.599154,110001,2.154
10033,50.475502,-104.599152,110002,2.301
10033,50.475280,-104.599153,110003,2.326
10033,50.475280,-104.599153,120001,2.326
10033,50.473955,-104.599151,120002,2.473
10033,50.473954,-104.598760,120003,2.501
10033,50.473954,-104.598760,130001,2.501
10033,50.473950,-104.597714,130002,2.575
10033,50.473954,-104.596262,130003,2.678
10033,50.472398,-104.596262,130004,2.851
10033,50.472396,-104.596780,130005,2.888
